5,1,4,2,3,7,9,8,11,12,6,10,13,15,16,17,20,18,14,23,24,26,28,27,25,21,19,30,31,29,34,32,22,33,39,35,37,38,40,42,36,46,43,44,45,41,49,48,47,50
3,2,7,5,4,11,1,10,13,14,15,16,6,17,8,9,19,18,12,26,28,21,20,22,32,23,24,25,30,31,35,36,39,27,33,37,29,34,42,40,41,38,44,43,48,46,45,49,50,47
1,5,6,2,3,8,7,9,4,10,13,15,19,12,14,11,16,17,21,18,30,24,25,20,29,36,27,23,28,22,26,33,31,34,39,35,32,40,44,37,38,43,50,47,41,45,42,46,48,49
1,6,7,2,3,4,8,5,10,12,13,9,11,18,14,16,17,15,23,21,24,19,20,27,26,36,28,31,30,25,29,38,32,22,39,35,40,34,37,42,46,41,33,43,45,49,47,48,50,44
6,2,5,1,4,3,8,7,10,12,9,13,11,18,20,15,17,21,14,19,24,25,23,16,22,27,32,29,26,30,31,33,34,35,28,36,37,38,39,48,40,41,45,42,43,46,49,44,47,50
6,2,11,9,1,8,4,3,7,13,15,5,14,12,16,10,20,17,21,22,19,27,23,18,34,28,29,26,25,32,31,24,36,33,30,38,37,39,45,35,40,41,43,42,48,44,47,46,49,50
1,2,3,4,5,7,6,9,8,10,12,11,15,19,21,13,16,17,22,24,14,20,18,23,25,26,27,28,33,31,30,32,34,29,36,35,38,41,37,49,40,42,50,46,43,47,44,48,45,39
1,4,6,2,5,9,3,11,7,8,10,13,20,22,12,14,15,19,18,26,16,17,21,25,31,23,24,27,30,28,34,32,29,39,33,35,37,36,38,48,40,42,41,47,44,45,49,50,43,46
3,7,2,1,4,9,10,5,6,12,11,8,13,14,15,16,17,18,20,21,22,23,24,26,25,28,19,29,31,27,34,30,36,33,32,38,39,40,37,44,35,41,42,43,45,46,50,47,48,49
2,1,5,3,6,12,8,9,4,7,13,14,11,17,16,22,20,15,10,18,27,38,30,23,25,19,26,24,21,32,28,35,34,29,37,39,41,40,31,33,36,42,43,44,45,46,50,47,49,48
1,3,2,5,8,11,4,6,7,9,12,13,16,14,10,19,15,20,23,17,21,29,22,24,28,30,18,26,27,35,25,32,31,33,36,40,37,44,42,47,34,38,43,41,45,46,39,49,48,50
1,2,4,5,6,8,13,3,14,7,10,9,20,11,15,12,17,18,19,16,21,22,24,25,28,30,26,23,32,33,31,27,29,37,34,35,38,39,36,48,42,43,41,47,50,46,44,40,49,45
1,2,4,3,9,6,8,5,7,11,14,12,13,15,10,21,25,17,22,18,24,20,23,28,19,30,16,32,26,27,31,29,36,34,40,37,35,41,43,38,50,42,33,46,39,44,48,47,49,45
3,5,8,4,2,7,1,6,9,10,12,11,13,14,15,17,20,16,19,18,21,25,23,22,24,26,32,28,27,37,30,29,33,34,38,31,35,36,41,40,39,43,46,45,47,44,48,42,50,49
5,2,3,6,7,1,9,8,10,4,12,15,13,16,18,17,23,11,14,19,20,21,22,24,26,25,27,29,30,33,31,35,32,28,38,37,34,36,39,45,47,42,41,48,43,50,40,44,46,49
2,1,4,5,3,6,8,7,10,13,9,11,12,15,16,14,18,19,22,20,17,24,23,21,25,31,27,32,28,29,36,26,34,37,30,33,39,40,43,41,46,38,45,35,42,47,44,50,49,48
2,4,1,3,5,18,6,11,8,10,12,14,16,7,15,13,19,17,20,9,22,24,23,30,21,27,28,25,29,31,26,33,34,41,32,37,35,38,36,40,42,39,44,43,45,46,48,49,47,50
1,4,3,5,6,7,9,2,8,11,13,14,10,12,15,18,17,20,16,22,19,21,23,24,25,27,28,31,29,26,33,30,35,36,34,38,39,41,37,44,32,42,45,40,46,43,47,48,49,50
7,1,2,3,4,5,6,8,9,13,11,10,14,15,12,16,31,19,18,20,24,21,22,17,26,25,23,35,27,29,30,32,28,33,34,38,36,39,42,37,43,41,40,49,45,46,47,50,44,48
1,3,2,5,4,10,14,6,12,7,8,9,11,18,16,13,15,20,17,21,24,23,25,26,19,28,29,22,33,30,27,31,32,34,35,36,38,39,37,42,40,45,43,41,46,49,44,50,48,47

